Plot 1 FLIR USB Video,,,,,,,,,,,
,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,31,285,284,166,34,120,31,287
Location Y,,,,115,74,119,115,68,114,175,178
Size X,,,,,,,,,,,
Size Y,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,
,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
4/24/2018,12:38:04 PM,945,44.865,37.13949203,30.34607697,30.23849678,31.10828209,34.2249794,29.51875877,33.09778976,29.879179
4/24/2018,12:38:05 PM,216,45.136,37.15078735,30.2982769,30.23849678,31.14389038,34.17870712,29.56687927,33.12113571,29.89117432
4/24/2018,12:38:05 PM,486,45.406,37.15078735,30.39385986,30.32217979,31.16762352,34.20184326,29.61497879,33.15615082,29.93914223
4/24/2018,12:38:05 PM,756,45.676,37.16208267,30.38191605,30.25045395,31.14389038,34.23654556,29.55484962,33.16781998,29.93914223
4/24/2018,12:38:06 PM,26,45.946,37.15078735,30.38191605,30.26241112,31.19135094,34.2249794,29.53079033,33.13280869,29.92715263
4/24/2018,12:38:06 PM,567,46.487,37.17337418,30.36997223,30.26241112,31.13202095,34.2249794,29.56687927,33.09778976,29.92715263
4/24/2018,12:38:06 PM,837,46.757,37.19595718,30.40580177,30.2265377,31.13202095,34.2249794,29.56687927,33.13280869,29.92715263
4/24/2018,12:38:07 PM,108,47.028,37.19595718,30.40580177,30.25045395,31.1557579,34.25967407,29.55484962,33.16781998,29.97510529
4/24/2018,12:38:07 PM,378,47.298,37.18466568,30.42968369,30.28632164,31.14389038,34.28279877,29.56687927,33.15615082,29.97510529
4/24/2018,12:38:07 PM,648,47.568,37.20724869,30.44162369,30.28632164,31.19135094,34.24811172,29.57890511,33.12113571,29.93914223
4/24/2018,12:38:07 PM,918,47.838,37.13949203,30.36997223,30.23849678,31.07266235,34.29436111,29.51875877,33.07443619,29.92715263
4/24/2018,12:38:08 PM,459,48.379,37.17337418,30.3580246,30.25045395,31.13202095,34.28279877,29.54281998,33.09778976,29.89117432
4/24/2018,12:38:08 PM,729,48.649,37.15078735,30.40580177,30.25045395,31.13202095,34.25967407,29.53079033,33.10946274,29.98709106
4/24/2018,12:38:08 PM,999,48.919,37.10560226,30.33412933,30.25045395,31.10828209,34.23654556,29.56687927,33.09778976,29.91516113
